temp,do_consumed
15,22.4905303
18,-205.7263081
21,18.5
24,-22.77131783
27,16.84907834
30,8.928571429
15,21.85314685
18,10.24765158
21,19.21470343
24,66.43869077
27,66.66666667
30,17.36111111
15,21.34458078
18,0.964718853
21,25.63059398
24,46.89132706
27,61.92080876
30,92.61501211
15,1.944444444
18,15.83333333
21,37.75
24,49.53125
27,52.27272727
30,108.125
30,41.25896934
15,15.17509728
18,3.753127606
21,-5.986787779
24,-5.242227043
27,7.459095284
15,4.739336493
18,8.525345622
21,53.97111913
24,49.39759036
27,71.01449275
30,46.50032404
15,5.769230769
18,33.89830508
21,39.61748634
24,54.50236967
27,43.71980676
30,87.04268293
15,10.63446287
18,5.092592593
21,67.61442441
24,66.04278075
27,60.01936108
30,41.55124654
